TransactionTime,MiningTime,Fraudulent
0.5633063543866614,0.6012545034320351,0
0.7100531293444459,0.3540390914407701,1
0.25795794883648926,0.663477452647578,0
0.3957811041110252,0.4651737708325719,0
0.5942601816442403,0.428227498960172,0
0.7687496940092468,0.42272050498334,1
0.4688542189623514,0.4106045242166487,0
0.5046478461314869,0.6343102325093853,0
0.29505501759695985,0.7760920965699831,0
0.5301321323053058,0.23887059750830741,1
0.3471132530877013,0.5552679704826088,0
0.4529223322374318,0.6573152873769412,0
0.45341188430435786,0.5833011561966067,0
0.41430987362990335,0.618246715726374,0
0.5123738038749523,0.5509492287711821,1
0.5341209982356951,0.5544410551203097,0
0.45636968998990507,0.4788062963981072,1
0.7208787923016159,0.4809936335948437,1
0.42982025747190833,0.3437964604879021,1
0.4363571772752967,0.4277445203500662,0
0.708897907718663,0.5237444621914054,1
0.20663513157114247,0.4072887302606199,0
0.40220884684944097,0.5468289274320415,1
0.7261845713819337,0.5652962210225885,1
0.6827429375390468,0.4045369595443751,1
0.691602867216395,0.40060651787487983,1
0.7085081386743783,0.5193180715867101,1
0.42961786069363617,0.45998557231110604,1
0.5433862914177091,0.4807867509030813,1
0.4463476238100519,0.5183170677744404,1
0.3364265404201034,0.4472659310486625,0
0.24538940849623564,0.6786948661456602,0
0.5323592099410597,0.3502331810559776,1
0.42542334011440947,0.23759277593634762,1
0.524392928686265,0.4313120563984696,1
0.4639936184136716,0.7213923721539395,0
0.6918424713352256,0.38623920725298405,1
0.42208032463978495,0.47097581751188916,0
0.41186023134240257,0.7002459006563434,0
0.2967409163601807,0.7227338957069056,0
0.23724110712235968,0.7962020568002693,0
0.5588863031813307,0.5650470707645706,0
0.704314019446759,0.5290402242638632,1
0.6245108790277986,0.34407625656450513,1
0.7083868719818245,0.2508242050607539,1
0.5975182385457564,0.4088973040219217,1
0.6090931317527977,0.5079974212394442,1
0.5588441039810308,0.5715976109500074,0
0.4101676506976381,0.4491561903276001,1
0.4431565707973218,0.2341389859975072,1
0.4568126584617151,0.44124954753437307,0
0.6545641645055122,0.4125418526272592,1
0.2646514856378455,0.6021009489791429,0
0.6034282764658812,0.45497196059928263,1
0.442571623863836,0.5280198404122447,0
0.49971689165955,0.5903408317850138,1
0.564153169214252,0.40652013932047815,1
0.46540070764322233,0.4043350605921194,0
0.20202463353848749,0.7621527905677055,0
0.2643232205669995,0.43651467071445343,0
0.4194935157466344,0.527725455036166,0
0.4767580790770773,0.7800247868203221,0
0.4607845038010402,0.7802428587750225,0
0.28970772378422394,0.6293751552493145,0
0.48487168853901436,0.6527348848679198,0
0.7485842360750872,0.4783896824374792,1
0.7214688307596459,0.363581177765708,1
0.49859656204720965,0.5314658181479665,0
0.7570235993959912,0.26257481706843444,1
0.6157368967662603,0.30009715926583813,1
0.722976062065625,0.4196906658824482,1
0.7584365199693973,0.4858383690800249,1
0.237469907131237,0.43648244121947616,0
0.44402076981107075,0.3119735587783771,1
0.3060809470726902,0.4230235040066577,0
0.5708431154505026,0.4951587666783074,1
0.7272059063689973,0.42174162100456025,1
0.7442922333025375,0.4446882984937409,1
0.5568186220708453,0.5403660050208315,0
0.6042989210310263,0.299092395800463,1
0.5179245214166593,0.45719667282113435,0
0.4888431241882921,0.5031384441857476,1
0.4307615538505436,0.6472872253265045,0
0.5350460685614512,0.2464290562027665,1
0.2780971951192178,0.433642722445999,0
0.48898084610460213,0.6803876525836481,0
0.6075162486973464,0.5421842336044029,1
0.20972638657258155,0.7287440237161426,0
0.5454518409517176,0.38966953163493007,1
0.7887128330883844,0.2391336642604006,1
0.7849789179768445,0.39664635004673293,1
0.5007129183301458,0.3893887083122263,1
0.5988994023569543,0.2692807479640061,1
0.5203513239267079,0.37354065969518924,1
0.5139361977509871,0.3594018937589494,1
0.4147547789418131,0.4463400392208866,1
0.6438257335919588,0.4540374603470575,1
0.6010716092915447,0.21812160390881782,1
0.4205915004999958,0.3498450458505885,1
0.541203782186944,0.4334002866794675,0
